episode,reward,moving_average_100
400,-153.0,-194.76
401,-200.0,-194.76
402,-200.0,-194.76
403,-200.0,-194.76
404,-200.0,-194.76
405,-171.0,-194.47
406,-200.0,-194.47
407,-200.0,-194.82
408,-189.0,-194.71
409,-200.0,-194.71
410,-200.0,-194.71
411,-200.0,-194.71
412,-157.0,-194.28
413,-200.0,-194.28
414,-200.0,-194.38
415,-200.0,-194.85
416,-200.0,-194.85
417,-200.0,-194.85
418,-200.0,-194.85
419,-200.0,-195.66
420,-200.0,-195.66
421,-200.0,-195.66
422,-175.0,-195.41
423,-200.0,-195.41
424,-200.0,-195.41
425,-200.0,-195.41
426,-200.0,-195.41
427,-200.0,-195.41
428,-166.0,-195.07
429,-200.0,-195.07
430,-200.0,-195.34
431,-200.0,-195.76
432,-200.0,-195.76
433,-200.0,-195.76
434,-200.0,-195.76
435,-200.0,-195.76
436,-200.0,-195.76
437,-174.0,-195.5
438,-200.0,-195.5
439,-200.0,-195.5
440,-200.0,-195.5
441,-197.0,-195.47
442,-200.0,-195.47
443,-200.0,-195.47
444,-200.0,-195.54
445,-200.0,-195.54
446,-200.0,-195.54
447,-200.0,-195.54
448,-200.0,-195.8
449,-200.0,-195.83
450,-200.0,-195.83
451,-200.0,-195.83
452,-200.0,-196.26
453,-200.0,-196.26
454,-200.0,-196.26
455,-200.0,-196.26
456,-115.0,-195.41
457,-122.0,-194.63
458,-200.0,-194.63
459,-200.0,-194.97
460,-200.0,-194.97
461,-200.0,-194.97
462,-200.0,-194.97
463,-200.0,-194.97
464,-185.0,-195.21
465,-122.0,-194.43
466,-200.0,-194.43
467,-117.0,-193.6
468,-200.0,-193.6
469,-170.0,-193.3
470,-200.0,-193.3
471,-200.0,-193.3
472,-200.0,-193.3
473,-200.0,-193.3
474,-200.0,-193.3
475,-200.0,-193.3
476,-200.0,-193.3
477,-160.0,-192.9
478,-200.0,-192.9
479,-200.0,-192.9
480,-200.0,-192.9
481,-200.0,-192.9
482,-200.0,-192.9
483,-200.0,-192.9
484,-149.0,-192.39
485,-200.0,-192.39
486,-200.0,-192.39
487,-200.0,-192.39
488,-200.0,-192.39
489,-200.0,-192.39
490,-200.0,-192.39
491,-200.0,-192.39
492,-176.0,-192.47
493,-200.0,-192.47
494,-200.0,-192.47
495,-200.0,-192.77
496,-200.0,-192.77
497,-200.0,-192.77
498,-200.0,-192.77
499,-169.0,-192.67
500,-200.0,-193.14
501,-200.0,-193.14
502,-200.0,-193.14
503,-200.0,-193.14
504,-200.0,-193.14
505,-137.0,-192.8
506,-200.0,-192.8
507,-200.0,-192.8
508,-200.0,-192.91
509,-200.0,-192.91
510,-200.0,-192.91
